timestamp,cpu_utilization,memory_mb,latency_ms,request_volume,instance_price,availability
2026-08-01T00:00:00,7.0,314.9,35.07,195,3.5e-05,99.9566
2026-08-01T00:15:00,5.0,295.4,37.86,424,7.7e-05,99.9522
2026-08-01T00:30:00,8.51,327.5,36.15,408,7.9e-05,99.9606
2026-08-01T00:45:00,5.0,304.5,29.8,347,5.1e-05,99.955
2026-08-01T01:00:00,11.31,280.1,23.75,419,4.5e-05,99.9317
2026-08-01T01:15:00,12.4,326.5,33.0,489,8.6e-05,99.9441
2026-08-01T01:30:00,6.85,288.9,31.93,314,4.7e-05,99.9375
2026-08-01T01:45:00,5.0,283.4,42.4,181,3.5e-05,99.928
2026-08-01T02:00:00,5.88,296.0,34.2,203,3.3e-05,99.9215
2026-08-01T02:15:00,6.87,310.9,40.54,460,9.4e-05,99.9645
2026-08-01T02:30:00,6.64,268.9,26.39,110,1.3e-05,99.969
2026-08-01T02:45:00,5.0,269.1,28.38,0,0.0,99.9284
2026-08-01T03:00:00,10.38,289.4,33.12,341,5.3e-05,99.9717
2026-08-01T03:15:00,12.18,325.9,40.42,670,0.000144,99.9494
2026-08-01T03:30:00,16.35,318.4,37.95,394,7.7e-05,99.947
2026-08-01T03:45:00,9.1,229.0,30.11,275,3.1e-05,99.939
2026-08-01T04:00:00,13.28,273.3,31.36,564,7.9e-05,99.9411
2026-08-01T04:15:00,6.93,310.9,30.9,606,9.5e-05,99.9501
2026-08-01T04:30:00,8.16,246.2,25.24,200,2e-05,99.9849
2026-08-01T04:45:00,5.0,306.0,29.65,188,2.8e-05,99.9396
2026-08-01T05:00:00,5.42,333.7,30.07,397,6.5e-05,99.9186
2026-08-01T05:15:00,5.0,309.6,28.47,63,9e-06,99.9592
2026-08-01T05:30:00,5.0,299.6,27.72,301,4.1e-05,99.9755
2026-08-01T05:45:00,6.74,286.8,27.82,259,3.4e-05,99.9797
2026-08-01T06:00:00,25.91,373.0,47.97,1238,0.000361,99.9546
2026-08-01T06:15:00,16.9,352.6,65.68,1062,0.0004,99.9203
2026-08-01T06:30:00,29.93,464.7,96.25,1771,0.001289,99.958
2026-08-01T06:45:00,28.37,402.5,95.76,1093,0.000686,99.9639
2026-08-01T07:00:00,33.88,414.1,101.05,1417,0.000965,99.957
2026-08-01T07:15:00,23.32,402.6,75.77,1111,0.000552,99.99
2026-08-01T07:30:00,17.88,393.8,97.91,1106,0.000694,99.9201
2026-08-01T07:45:00,18.03,403.6,60.39,901,0.000357,99.9413
2026-08-01T08:00:00,10.9,368.1,72.16,1376,0.000595,99.9612
2026-08-01T08:15:00,28.19,419.3,82.9,1609,0.00091,99.9404
2026-08-01T08:30:00,22.32,431.2,50.33,1471,0.00052,99.959
2026-08-01T08:45:00,27.59,377.5,58.22,1113,0.000398,99.9805
2026-08-01T09:00:00,32.28,369.6,65.75,1116,0.000441,99.9456
2026-08-01T09:15:00,40.59,436.7,91.89,1886,0.001232,99.923
2026-08-01T09:30:00,26.92,417.8,81.64,1421,0.000789,99.9255
2026-08-01T09:45:00,11.81,395.8,69.52,1095,0.00049,99.977
2026-08-01T10:00:00,43.88,521.1,79.21,2618,0.001759,99.955
2026-08-01T10:15:00,39.26,535.6,106.82,2222,0.002069,99.9382
2026-08-01T10:30:00,45.88,536.6,150.93,2760,0.003638,99.9707
2026-08-01T10:45:00,45.2,551.7,129.39,2598,0.003018,99.99
2026-08-01T11:00:00,49.57,533.1,120.32,2744,0.002865,99.9578
2026-08-01T11:15:00,32.25,525.4,135.7,2552,0.002961,99.9089
2026-08-01T11:30:00,54.08,547.9,100.16,2990,0.002671,99.9629
2026-08-01T11:45:00,40.06,545.1,112.41,2895,0.002887,99.9215
2026-08-01T12:00:00,33.81,483.8,101.6,1992,0.001594,99.963
2026-08-01T12:15:00,39.4,506.8,100.04,2107,0.001739,99.9343
2026-08-01T12:30:00,52.5,557.5,139.06,2843,0.003587,99.9653
2026-08-01T12:45:00,34.35,465.0,82.14,1840,0.001144,99.9352
2026-08-01T13:00:00,39.84,528.5,140.58,2263,0.002736,99.919
2026-08-01T13:15:00,44.87,530.4,123.34,2550,0.002715,99.9346
2026-08-01T13:30:00,38.11,472.8,96.36,2331,0.001729,99.9363
2026-08-01T13:45:00,37.35,497.4,87.17,2170,0.001531,99.9341
2026-08-01T14:00:00,41.81,488.1,83.42,2259,0.001497,99.9374
2026-08-01T14:15:00,37.35,460.8,112.7,2343,0.00198,99.9383
2026-08-01T14:30:00,32.24,451.4,103.14,1730,0.001311,99.9433
2026-08-01T14:45:00,34.18,477.8,114.36,2106,0.001873,99.9437
2026-08-01T15:00:00,42.66,529.3,94.0,2293,0.001857,99.9488
2026-08-01T15:15:00,46.2,552.9,130.21,2798,0.003279,99.995
2026-08-01T15:30:00,42.43,550.2,81.27,2466,0.001795,99.9206
